Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Other,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Other,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,Hosp_Total,Hosp_White,Hosp_Black,Hosp_LatinX,Hosp_Asian,Hosp_AIAN,Hosp_NHPI,Hosp_Multiracial,Hosp_Other,Hosp_Unknown,Hosp_Ethnicity_Hispanic,Hosp_Ethnicity_NonHispanic,Hosp_Ethnicity_Unknown
20201108,NH,12488,8098,428,1294,318,15,6,2329,116,170,2043,1294,9151,2043,489,434,9,14,4,0,0,28,0,1,27,14,448,27,,,,,,,,,,,,,
20201108,NJ,254595,68845,25034,51333,8275,,,101108,,22876,78232,51333,125030,78232,16429,8777,2886,3240,888,,,638,,329,309,3240,12880,309,,,,,,,,,,,,,
20201108,NM,54881,7880,872,23681,422,11217,,10809,,,10809,23681,20391,10809,1118,257,12,288,6,473,,82,,,82,288,748,82,,,,,,,,,,,,,
20201108,NV,110022,25673,6497,35529,6074,447,,35802,,8287,27515,35529,46978,27515,1851,673,151,318,153,13,,543,,5,538,318,995,538,,,,,,,,,,,,,
20201108,NY,529036,,,,,,,529036,,,529036,,,529036,33955,10247,7925,8168,2133,,,5482,,2267,3215,8168,22572,3215,,,,,,,,,,,,,
20200412,OH,6604,3524,1328,,124,4,2,1622,137,226,1259,174,4268,2162,253,161,33,,,,,59,4,3,52,2,161,90,,,,,,,,,,,,,
20201108,OK,136258,78970,9015,,3512,13521,,31240,,5157,26083,19322,82329,34607,1438,1043,86,,25,127,,157,,47,110,84,1151,203,,,,,,,,,,,,,
20201108,OR,50448,21344,1525,,1338,1129,693,24419,959,15439,8021,17601,24692,8155,730,481,20,,20,14,7,188,19,76,93,91,501,138,,,,,,,,,,,,,
20201108,PA,230894,96591,27155,,4693,,,102455,,2389,100066,18396,61024,151474,9020,6652,1735,,174,,,459,,414,45,508,8467,45,,,,,,,,,,,,,
20201108,PR,38100,,,,,,,38100,,,38100,,,,872,,,,,,,872,,,872,,,,,,,,,,,,,,,,
